Palavra_Chave;Bundle_Id;Nome_do_aplicativo;Numero_de_avaliacoes;Numero_de_estrelas;Numero_de_instalacoes;Tamanho do aplicativo;Versao_do_android_exigida;Numero_de_comentarios;Avaliacoes_sem_comentario
learn programming;com.atulindap.gotutorials;Go tutorial(beginners);17;4.1;1,000+;4.3M;4.0.3 and up;9;8
learn programming;com.ben.Tutorial.Learncomputer;Learn computer courses;14;4.4;10,000+;5.4M;4.1 and up;5;9
learn programming;com.mhasancse15.programminglanguage;Programming languages;25;4.1;5,000+;5.7M;4.3 and up;15;10
learn programming;com.codepoint.learnjava;Learn Java Programming OFFLINE -  Java Tutorials;14;4.1;5,000+;4.1M;4.4 and up;11;3
learn programming;com.sololearn.cplusplus;Learn C++;77010;4.7;1,000,000+;6.2M;4.0.3 and up;23869;53141
learn programming;org.catrobat.catroid;Pocket Code: Learn programming your own game apps!;11046;3.9;500,000+;23M;5.0 and up;5400;5646
learn programming;com.app1daily.learncobol;Learn COBOL Complete Guide Offline;5;4.6;1,000+;1.5M;4.1 and up;3;2
learn programming;com.app4daily.computerrepairingcourse;Learn Computer Programming;14;4.4;5,000+;2.3M;4.4 and up;6;8
learn programming;com.spdroid.c;C Programming - Learn Code, Theory & Discuss;3381;4.5;100,000+;5.5M;4.3 and up;1584;1797
learn programming;learn.java.programming;Learn Java Programming;78;4.3;10,000+;3.4M;4.0.3 and up;41;37
learn programming;com.faadooengineers.free_principlesofprogramming;Programming Principles;65;4.0;10,000+;7.7M;4.0 and up;14;51
learn programming;com.apkzube.learnrprogramming;Learn R Programming - Tutorial;87;4.4;10,000+;5.4M;4.4 and up;44;43
learn programming;miwok.android.example.com.learnc;C++ Basics Learning : C++ for Beginners;105;4.6;10,000+;5.1M;4.1 and up;68;37
learn programming;com.apkzube.learncprogramming;Learn C Programming;160;3.8;10,000+;3.7M;4.4 and up;104;56
learn programming;com.nj.pubgw.codingfun;Coding Games For Beginner (C,Android,Java script);11;3.0;1,000+;4.8M;4.0.3 and up;9;2
learn programming;com.dexterousdevelopers.cprogrammingtutorials;C Programming Tutorials;65;4.8;10,000+;3.9M;4.0.3 and up;46;19
learn programming;learn.c.programing;Learn C Programming;179;4.5;10,000+;3.6M;4.0.3 and up;69;110
learn programming;com.sololearn.htmltrial;Learn HTML;63128;4.7;1,000,000+;6.2M;4.0.3 and up;22111;41017
learn programming;com.codepoint.learnangular;Learn Angular 8 -  AngularJs Tutorials Offline;862;4.2;10,000+;6.2M;4.4 and up;357;505
learn programming;com.learnswiftprogramming;Learn Swift Programming - iOS;55;4.5;5,000+;3.5M;5.0 and up;20;35
learn programming;com.quantumappsolutions.learnprogramming;Learn Computer Programming;21;4.4;5,000+;7.2M;4.0.3 and up;17;4
learn programming;com.pkj.learncprogramming;Learn C Programming;42;4.6;1,000+;2.4M;4.0 and up;33;9
learn programming;com.appsfactory.htmlcssjsbootstrap;Learn Web Development Complete Bootcamp 2019;61;4.5;1,000+;11M;4.4 and up;29;32
learn programming;com.getmimo;Mimo: Learn to Code;84776;4.5;1,000,000+;16M;5.0 and up;34620;50156
learn programming;name.antonsmirnov.android.cppdroid;CppDroid - C/C++ IDE;30266;4.1;1,000,000+;46M;4.4W and up;7749;22517
learn programming;com.apkzube.learnjavaprogramming;Learn Java;243;4.3;50,000+;6.7M;4.4 and up;131;112
learn programming;com.newageproductions.learnc;Learn C;117;4.4;10,000+;3.5M;5.0 and up;49;68
learn programming;com.awwalsoft.pythondeeplearning;Python Foundation Learning : Python Tutorials;174;4.1;10,000+;6.5M;5.0 and up;108;66
learn programming;com.appsfactory.learncplusplus;Learn C++ Programming  Tutorials - Offline 2019;undefined;undefined;100+;5.1M;4.4 and up;undefined;NaN
learn programming;learn.apps.htmlprogramming;Learn HTML5 Programming;26;4.5;10,000+;2.8M;4.0.3 and up;9;17
learn programming;org.coursera.android;Coursera: Online courses;97543;4.4;5,000,000+;Varies with device;Varies with device;17319;80224
learn programming;com.cyberloft.pascalprogramming;Pascal Programming;97;4.4;10,000+;7.5M;5.0 and up;49;48
learn programming;com.aide.trainer.java;Learn Java Hands-On Course;836;4.4;10,000+;17M;4.0 and up;278;558
learn programming;com.code.jupiter.learnphp;Learn PHP - Offline Tutorial;235;4.4;10,000+;4.0M;4.4 and up;146;89
learn programming;com.hyphenible.tryc;Learn C Programming: Offline with examples;25;4.6;1,000+;3.0M;4.4 and up;13;12
learn programming;com.codingpreperation.csinterviewpreperation.programming;CS & IT Interview Questions;132;4.5;10,000+;4.2M;4.2 and up;54;78
learn programming;com.appzap.learncprogramminginhindi;Learn C++ Programming In Hindi;82;4.1;10,000+;37M;4.2 and up;46;36
learn programming;com.back_banchers.cplusplus;Learn C++;48;3.6;10,000+;3.6M;4.0 and up;28;20
learn programming;com.adriada.impararec;Learn C++;312;4.5;10,000+;4.6M;5.0 and up;163;149
