Bundle Id;Número de estrelas do comentário;Texto do comentário;Id do comentário;Data do comentário;Numero de estrelas do aplicativo
tursky.jan.nauc.sa.html5;1;RUSSIAN LANGUAGE ADD;gp:AOqpTOEpVscl_wmcNu7-7QgVBmvZgKR5ATKEfB8X_nkGpj1VVJy224LAkD7O9-epivsqnOhJi55bQcldb5Y0pN8;2019-01-29T14:16:28.344Z;3.8
tursky.jan.nauc.sa.html5;1;Utterly disjointed, no use;gp:AOqpTOEY7Dqoxww5gV-OUv4s7tZYLGaGic18YRE-LPw1w-4WhLUBNyz9nqwOmiS5M6nycMfmBJnTzMbQbnZ1TSw;2018-11-05T15:26:52.910Z;3.8
tursky.jan.nauc.sa.html5;5;Nice app for maximum programming languages included;gp:AOqpTOFOtfNPBbhjataE4DGhqn1l95g7aW5YJvAVnXu1YWm0q4gKH3PuXX2_cb1WKLFVkaDRbarOGTzsvzqcHmo;2018-10-14T04:24:33.371Z;3.8
tursky.jan.nauc.sa.html5;5;Few important analytical languages are missing like R and Tableau kindly add those Thank you;gp:AOqpTOFdMXLXelTk4CoCdA3AWDa8uVTf0DN07EJYxBGY5pOSkxxpC-9HKpIF7PmDR90ZPzSOHOQyFJvLdIKm064;2018-10-10T18:07:11.100Z;3.8
tursky.jan.nauc.sa.html5;4;Tutorial is not in sequence for a beginner.It's all messed up👎;gp:AOqpTOFOMW3P9gJ82OtRpsfjQ5Y_qNeNK81wUrtLZbKtjTOwHN0VCE8wKCa6Qf9pO5wqERc56gTNjmU1zAa1Vlw;2018-09-20T14:21:17.358Z;3.8
tursky.jan.nauc.sa.html5;5;Nice app. Knowledge in your hands;gp:AOqpTOEyu-td1Uwef5Nd0HA-dvTep-IZxCGbrdd4chpJi3qY0uNRt9F4L_7iVBTNVPZG3JzqtXqkEG-mLNAt-VE;2018-09-07T13:13:38.898Z;3.8
tursky.jan.nauc.sa.html5;4;Nice;gp:AOqpTOHnzQtwh3t0FlkQIz0j_MA2n4FMA0eCvLzocnkw-rJocoL4ebR307op9raJRl3hlf0kKYOrzXMohzpWIkA;2018-09-02T19:46:47.818Z;3.8
tursky.jan.nauc.sa.html5;5;Really good;gp:AOqpTOE8bs4U-9vJk1rv3pdT2mdVO6KJK182D-rysTpB4BRNbDNacpgiKi8E-uyfK2XusWTSzV4ntblhz55Wmtc;2018-08-21T10:11:02.858Z;3.8
tursky.jan.nauc.sa.html5;5;I like the application it's simple for learn.;gp:AOqpTOGVNnH23PnfMFoh3N0BoXO4i9bvfAUSP0ugxB-GjLogClDUqfHKvBUjFpHXOzKFdlx3OWnFvC1glDk5AZE;2018-08-15T20:04:01.137Z;3.8
tursky.jan.nauc.sa.html5;5;Need help here.... It is obviously one of the best apps to learn  programming. But the tutorials section is not in order or I am not  understanding how to read the step by step tutorials to learn a new  language.;gp:AOqpTOHYvDhu4Z9_gnFRj64EbbYDIMuX_BlPyw16d0Ofx2QeoEMdwReluuTQkUFvpnlVWY7eWCtz7cFYvZswzKk;2018-08-07T07:18:54.224Z;3.8
