bundle id;comentarios positivos;comentarios negativos;comentarios neutros;comentarios totais
ab.codelyf;94;8;11;113
com.ionicframework.cursosdegraca;65;3;15;83
com.sololearn.csstrial;164;8;28;200
com.codenza.dp.programs;147;18;35;200
in.edu.pd;151;13;36;200
info.cntrlapps.prolearn;2;0;2;4
com.apkzube.learncprogramming;85;2;13;100
com.sololearn.cplusplus;149;11;40;200
com.skillshare.Skillshare;154;16;30;200
com.W3school.Anbu;44;11;13;68
com.linkedin.android.learning;158;13;29;200
com.junior;170;8;22;200
com.motionapps.onlinecompiler;125;34;41;200
com.kindergarten.MathPreScool3;162;8;30;200
com.lego.education.ev3;48;4;16;68
com.nxg.learningvb;95;26;35;156
com.frontline.frontlinemobile;73;52;53;178
robotic.industrial;75;7;20;102
com.djm.offlinepythonnotes;160;5;35;200
itools.cprograms;144;12;44;200
com.jitendra000557.Final_AMC;2;0;0;2
com.sololearn.htmltrial;163;8;29;200
com.snj.cprogramming;166;5;29;200
com.royal.krushna.myapplication;17;0;7;24
com.apps.athena.programminglanguages;63;4;25;92
com.easy.hp.ctutorial;179;2;19;200
cpp.programming;143;15;42;200
com.rsd.cprogramming;76;6;25;107
