Bundle Id;PolaridadeAplicativo;numeroEstrelas;grupos
com.xtelltechnologies.htmltutoriallearncodetagscss;0.75;4.2;3
org.catrobat.catroid;0.73;3.9;1
com.educationapps.cncguide;1.00;4.1;3
com.mhasancse15.programminglanguage;0.92;4.1;3
com.ben.Tutorial.Learncomputer;1.00;4.4;3
com.coding.dmr.c;1.00;4.4;3
com.ozensoft.arduinoplcladdersim;0.86;4.1;3
com.studytonight.app;0.98;4.6;3
com.appybuilder.aadi_ben16.CTuit;1.00;4.6;3
curso.violao.formula.violao;0.00;4.0;3
com.namit.www.ndroid;0.97;4.7;3
free.programming.programming;0.94;4.6;1
com.codepoint.learnkotlin;1.00;4.0;3
com.bootstrap.code.play;0.97;4.4;3
com.jaypeesoft.ds;0.92;4.6;3
com.futurevisioncomputers.excelvba;0.89;4.3;3
sgdevelopers.learn_c_programming;1.00;4.4;3
com.wscubetech.learnpython;1.00;4.5;3
com.knightcoder.programmingebooks;0.84;4.3;3
com.shalik.patel.cprogrammingsolution;0.99;4.8;3
com.learnswiftprogramming;0.83;4.5;3
com.do_apps.catalog_285;0.83;4.0;3
com.gonliapps.learnportuguesefree.game;1.00;4.5;3
com.papumba.android.learnenglish;0.91;4.2;3
com.shashank.sony.cppprogrammingbyshashank;0.96;4.3;3
com.easy.hp.ctutorial;0.98;4.5;3
com.virtlab.cncsim_free;0.96;4.3;3
com.educationapps.visualbasicnet;1.00;4.0;3
com.codepoint.learncplusplus;0.89;4.1;3
com.krazeapps.csharpprogrammingcompiler;1.00;3.2;3
pl.paridae.app.android.mathmaster;0.97;4.3;1
com.appsenrique.pnlconpoder;0.00;4.6;3
com.classic.vast.com.aprendecxx;1.00;4.1;3
com.programmarc.cprogrammingbangla;1.00;4.1;3
com.riyazsiddiquiexti.androidlearningtutorial;1.00;4.9;3
com.something.harifbi175.myapplication;1.00;4.9;3
com.sololearn.csstrial;0.91;4.7;1
com.coderbro.tutorial.a8051microcontroller;1.00;4.3;3
com.vedprakashwagh.learnandroid;1.00;4.3;3
com.newageproductions.learnc;1.00;4.4;3
com.delphiapplications.delphiexamples;1.00;4.3;3
learnbook.oaktech;0.97;4.2;3
com.jaindev.c;1.00;4.2;3
com.velosys.interview_preparation;0.87;3.8;3
com.alansa.ideabag2;0.94;4.7;3
com.devlearnapp.devlearn;0.89;4.1;3
com.app.cprogramingapp;0.94;4.4;3
com.pranitkulkarni.sortingdemo;0.96;4.6;3
com.apkzube.learncpp;0.95;4.5;3
learn.c.programing;0.98;4.5;3
com.japangor.learntocodec;0.76;3.7;3
app.kasper.tutorials;1.00;4.5;3
com.clanguage.pradip.bitsofcomputer;1.00;4.4;3
com.cprograms4future.allcprograms;0.98;4.6;3
com.adriada.impararec;1.00;4.5;3
com.JustForYouLimited.LearnJavaScriptOffline;0.91;4.8;3
php.code.play;0.89;4.0;3
org.jw.jwlanguage;0.96;4.9;4
